Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:19 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM   25    1.33    0.00    2.00    0.00    0.00    0.00    0.00    0.00   96.67
01:53:19 PM   26    1.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.66
01:53:19 PM   27    1.00    0.00    1.66    0.00    0.00    0.00    0.00    0.00   97.34
01:53:19 PM   28    1.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   97.33
01:53:19 PM   29    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.66
01:53:19 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM   31    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67

01:53:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:22 PM  all    1.51    0.00    0.58    1.28    0.00    0.01    0.00    0.00   96.61
01:53:22 PM    0   44.55    0.00   15.51   39.93    0.00    0.00    0.00    0.00    0.00
01:53:22 PM    1    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM    2    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM    3    0.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00   99.67
01:53:22 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM    6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM    8    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:22 PM    9    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:22 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   13    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   16    0.33    0.00    0.00    0.33    0.00    0.00    0.00    0.00   99.33
01:53:22 PM   17    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   18    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:22 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   20    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   25    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   27    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   28    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:22 PM   29    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:22 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:22 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:53:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:25 PM  all    1.29    0.00    0.49    1.28    0.00    0.01    0.00    0.00   96.92
01:53:25 PM    0   42.16    0.00   16.03   41.81    0.00    0.00    0.00    0.00    0.00
01:53:25 PM    1    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:25 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    6    0.33    0.00    0.00    0.00    0.00    0.33    0.00    0.00   99.33
